category,filename,expected,is_real,antispoof_score,status,reason,correct
rppg_window,frame_0100.jpg,n/a,True,0.9987,pass,,
rppg_window,frame_0101.jpg,n/a,True,0.9987,pass,,
rppg_window,frame_0102.jpg,n/a,True,0.9988,pass,,
rppg_window,frame_0103.jpg,n/a,True,0.9988,pass,,
rppg_window,frame_0104.jpg,n/a,True,0.9988,pass,,
rppg_window,frame_0105.jpg,n/a,True,0.9988,pass,,
rppg_window,frame_0106.jpg,n/a,True,0.9988,pass,,
rppg_window,frame_0107.jpg,n/a,True,0.9987,pass,,
rppg_window,frame_0108.jpg,n/a,True,0.9987,pass,,
rppg_window,frame_0109.jpg,n/a,True,0.9988,pass,,
rppg_window,frame_0110.jpg,n/a,True,0.9988,pass,,
rppg_window,frame_0111.jpg,n/a,True,0.9988,pass,,
rppg_window,frame_0112.jpg,n/a,True,0.9988,pass,,
rppg_window,frame_0113.jpg,n/a,True,0.9988,pass,,
rppg_window,frame_0114.jpg,n/a,True,0.9988,pass,,
rppg_window,frame_0115.jpg,n/a,True,0.9988,pass,,
rppg_window,frame_0116.jpg,n/a,True,0.9988,pass,,
rppg_window,frame_0117.jpg,n/a,True,0.9987,pass,,
rppg_window,frame_0118.jpg,n/a,True,0.9987,pass,,
rppg_window,frame_0119.jpg,n/a,True,0.9988,pass,,
rppg_window,frame_0120.jpg,n/a,True,0.9988,pass,,
rppg_window,frame_0121.jpg,n/a,True,0.9988,pass,,
rppg_window,frame_0122.jpg,n/a,True,0.9988,pass,,
rppg_window,frame_0123.jpg,n/a,True,0.9988,pass,,
rppg_window,frame_0124.jpg,n/a,True,0.9987,pass,,
rppg_window,frame_0125.jpg,n/a,True,0.9987,pass,,
rppg_window,frame_0126.jpg,n/a,True,0.9988,pass,,
rppg_window,frame_0127.jpg,n/a,True,0.9988,pass,,
rppg_window,frame_0128.jpg,n/a,True,0.9988,pass,,
rppg_window,frame_0129.jpg,n/a,True,0.9988,pass,,
rppg_window,frame_0130.jpg,n/a,True,0.9988,pass,,
rppg_window,frame_0131.jpg,n/a,True,0.9988,pass,,
rppg_window,frame_0132.jpg,n/a,True,0.9988,pass,,
rppg_window,frame_0133.jpg,n/a,True,0.9988,pass,,
rppg_window,frame_0134.jpg,n/a,True,0.9987,pass,,
rppg_window,frame_0135.jpg,n/a,True,0.9987,pass,,
rppg_window,frame_0136.jpg,n/a,True,0.9988,pass,,
rppg_window,frame_0137.jpg,n/a,True,0.9988,pass,,
rppg_window,frame_0138.jpg,n/a,True,0.9988,pass,,
rppg_window,frame_0139.jpg,n/a,True,0.9988,pass,,
rppg_window,frame_0140.jpg,n/a,True,0.9987,pass,,
rppg_window,frame_0141.jpg,n/a,True,0.9987,pass,,
rppg_window,frame_0142.jpg,n/a,True,0.9988,pass,,
rppg_window,frame_0143.jpg,n/a,True,0.9988,pass,,
rppg_window,frame_0144.jpg,n/a,True,0.9988,pass,,
rppg_window,frame_0145.jpg,n/a,True,0.9988,pass,,
rppg_window,frame_0146.jpg,n/a,True,0.9988,pass,,
rppg_window,frame_0147.jpg,n/a,True,0.9988,pass,,
rppg_window,frame_0148.jpg,n/a,True,0.9988,pass,,
rppg_window,frame_0149.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0000.jpg,n/a,True,0.9987,pass,,
rppg_window_photo_attack,frame_0001.jpg,n/a,True,0.9987,pass,,
rppg_window_photo_attack,frame_0002.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0003.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0004.jpg,n/a,True,0.9987,pass,,
rppg_window_photo_attack,frame_0005.jpg,n/a,True,0.9987,pass,,
rppg_window_photo_attack,frame_0006.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0007.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0008.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0009.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0010.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0011.jpg,n/a,True,0.9987,pass,,
rppg_window_photo_attack,frame_0012.jpg,n/a,True,0.9987,pass,,
rppg_window_photo_attack,frame_0013.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0014.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0015.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0016.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0017.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0018.jpg,n/a,True,0.9987,pass,,
rppg_window_photo_attack,frame_0019.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0020.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0021.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0022.jpg,n/a,True,0.9987,pass,,
rppg_window_photo_attack,frame_0023.jpg,n/a,True,0.9987,pass,,
rppg_window_photo_attack,frame_0024.jpg,n/a,True,0.9987,pass,,
rppg_window_photo_attack,frame_0025.jpg,n/a,True,0.9987,pass,,
rppg_window_photo_attack,frame_0026.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0027.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0028.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0029.jpg,n/a,True,0.9987,pass,,
rppg_window_photo_attack,frame_0030.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0031.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0032.jpg,n/a,True,0.9987,pass,,
rppg_window_photo_attack,frame_0033.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0034.jpg,n/a,True,0.9987,pass,,
rppg_window_photo_attack,frame_0035.jpg,n/a,True,0.9987,pass,,
rppg_window_photo_attack,frame_0036.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0037.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0038.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0039.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0040.jpg,n/a,True,0.9987,pass,,
rppg_window_photo_attack,frame_0041.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0042.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0043.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0044.jpg,n/a,True,0.9987,pass,,
rppg_window_photo_attack,frame_0045.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0046.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0047.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0048.jpg,n/a,True,0.9987,pass,,
rppg_window_photo_attack,frame_0049.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0050.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0051.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0052.jpg,n/a,True,0.9987,pass,,
rppg_window_photo_attack,frame_0053.jpg,n/a,True,0.9987,pass,,
rppg_window_photo_attack,frame_0054.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0055.jpg,n/a,True,0.9987,pass,,
rppg_window_photo_attack,frame_0056.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0057.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0058.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0059.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0060.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0061.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0062.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0063.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0064.jpg,n/a,True,0.9987,pass,,
rppg_window_photo_attack,frame_0065.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0066.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0067.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0068.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0069.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0070.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0071.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0072.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0073.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0074.jpg,n/a,True,0.9987,pass,,
rppg_window_photo_attack,frame_0075.jpg,n/a,True,0.9987,pass,,
rppg_window_photo_attack,frame_0076.jpg,n/a,True,0.9987,pass,,
rppg_window_photo_attack,frame_0077.jpg,n/a,True,0.9987,pass,,
rppg_window_photo_attack,frame_0078.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0079.jpg,n/a,True,0.9987,pass,,
rppg_window_photo_attack,frame_0080.jpg,n/a,True,0.9987,pass,,
rppg_window_photo_attack,frame_0081.jpg,n/a,True,0.9987,pass,,
rppg_window_photo_attack,frame_0082.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0083.jpg,n/a,True,0.9987,pass,,
rppg_window_photo_attack,frame_0084.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0085.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0086.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0087.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0088.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0089.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0090.jpg,n/a,True,0.9987,pass,,
rppg_window_photo_attack,frame_0091.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0092.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0093.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0094.jpg,n/a,True,0.9987,pass,,
rppg_window_photo_attack,frame_0095.jpg,n/a,True,0.9987,pass,,
rppg_window_photo_attack,frame_0096.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0097.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0098.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0099.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0100.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0101.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0102.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0103.jpg,n/a,True,0.9987,pass,,
rppg_window_photo_attack,frame_0104.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0105.jpg,n/a,True,0.9987,pass,,
rppg_window_photo_attack,frame_0106.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0107.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0108.jpg,n/a,True,0.9987,pass,,
rppg_window_photo_attack,frame_0109.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0110.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0111.jpg,n/a,True,0.9987,pass,,
rppg_window_photo_attack,frame_0112.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0113.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0114.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0115.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0116.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0117.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0118.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0119.jpg,n/a,True,0.9987,pass,,
rppg_window_photo_attack,frame_0120.jpg,n/a,True,0.9987,pass,,
rppg_window_photo_attack,frame_0121.jpg,n/a,True,0.9987,pass,,
rppg_window_photo_attack,frame_0122.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0123.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0124.jpg,n/a,True,0.9987,pass,,
rppg_window_photo_attack,frame_0125.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0126.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0127.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0128.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0129.jpg,n/a,True,0.9987,pass,,
rppg_window_photo_attack,frame_0130.jpg,n/a,True,0.9987,pass,,
rppg_window_photo_attack,frame_0131.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0132.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0133.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0134.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0135.jpg,n/a,True,0.9987,pass,,
rppg_window_photo_attack,frame_0136.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0137.jpg,n/a,True,0.9987,pass,,
rppg_window_photo_attack,frame_0138.jpg,n/a,True,0.9987,pass,,
rppg_window_photo_attack,frame_0139.jpg,n/a,True,0.9987,pass,,
rppg_window_photo_attack,frame_0140.jpg,n/a,True,0.9987,pass,,
rppg_window_photo_attack,frame_0141.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0142.jpg,n/a,True,0.9987,pass,,
rppg_window_photo_attack,frame_0143.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0144.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0145.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0146.jpg,n/a,True,0.9987,pass,,
rppg_window_photo_attack,frame_0147.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0148.jpg,n/a,True,0.9988,pass,,
rppg_window_photo_attack,frame_0149.jpg,n/a,True,0.9988,pass,,
rppg_window_screen_attack,frame_0000.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0001.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0002.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0003.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0004.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0005.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0006.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0007.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0008.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0009.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0010.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0011.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0012.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0013.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0014.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0015.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0016.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0017.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0018.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0019.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0020.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0021.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0022.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0023.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0024.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0025.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0026.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0027.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0028.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0029.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0030.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0031.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0032.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0033.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0034.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0035.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0036.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0037.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0038.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0039.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0040.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0041.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0042.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0043.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0044.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0045.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0046.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0047.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0048.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0049.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0050.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0051.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0052.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0053.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0054.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0055.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0056.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0057.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0058.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0059.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0060.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0061.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0062.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0063.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0064.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0065.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0066.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0067.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0068.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0069.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0070.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0071.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0072.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0073.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0074.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0075.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0076.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0077.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0078.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0079.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0080.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0081.jpg,n/a,True,0.9998,pass,,
rppg_window_screen_attack,frame_0082.jpg,n/a,True,0.9998,pass,,
